"","Year","Round","State","Representatives","Standing"
"1",2010,0,"Alabama",1,0
"2",2010,0,"Alaska",1,0
"3",2010,0,"Arizona",1,0
"4",2010,0,"Arkansas",1,0
"5",2010,0,"California",1,0
"6",2010,0,"Colorado",1,0
"7",2010,0,"Connecticut",1,0
"8",2010,0,"Delaware",1,0
"9",2010,0,"Florida",1,0
"10",2010,0,"Georgia",1,0
"11",2010,0,"Hawaii",1,0
"12",2010,0,"Idaho",1,0
"13",2010,0,"Illinois",1,0
"14",2010,0,"Indiana",1,0
"15",2010,0,"Iowa",1,0
"16",2010,0,"Kansas",1,0
"17",2010,0,"Kentucky",1,0
"18",2010,0,"Louisiana",1,0
"19",2010,0,"Maine",1,0
"20",2010,0,"Maryland",1,0
"21",2010,0,"Massachusetts",1,0
"22",2010,0,"Michigan",1,0
"23",2010,0,"Minnesota",1,0
"24",2010,0,"Mississippi",1,0
"25",2010,0,"Missouri",1,0
"26",2010,0,"Montana",1,0
"27",2010,0,"Nebraska",1,0
"28",2010,0,"Nevada",1,0
"29",2010,0,"New Hampshire",1,0
"30",2010,0,"New Jersey",1,0
"31",2010,0,"New Mexico",1,0
"32",2010,0,"New York",1,0
"33",2010,0,"North Carolina",1,0
"34",2010,0,"North Dakota",1,0
"35",2010,0,"Ohio",1,0
"36",2010,0,"Oklahoma",1,0
"37",2010,0,"Oregon",1,0
"38",2010,0,"Pennsylvania",1,0
"39",2010,0,"Rhode Island",1,0
"40",2010,0,"South Carolina",1,0
"41",2010,0,"South Dakota",1,0
"42",2010,0,"Tennessee",1,0
"43",2010,0,"Texas",1,0
"44",2010,0,"Utah",1,0
"45",2010,0,"Vermont",1,0
"46",2010,0,"Virginia",1,0
"47",2010,0,"Washington",1,0
"48",2010,0,"West Virginia",1,0
"49",2010,0,"Wisconsin",1,0
"50",2010,0,"Wyoming",1,0
"51",2010,1,"Alabama",1,27
"52",2010,1,"Alaska",1,3
"53",2010,1,"Arizona",1,34
"54",2010,1,"Arkansas",1,18
"55",2010,1,"California",2,49
"56",2010,1,"Colorado",1,28
"57",2010,1,"Connecticut",1,21
"58",2010,1,"Delaware",1,5
"59",2010,1,"Florida",1,46
"60",2010,1,"Georgia",1,41
"61",2010,1,"Hawaii",1,10
"62",2010,1,"Idaho",1,11
"63",2010,1,"Illinois",1,45
"64",2010,1,"Indiana",1,35
"65",2010,1,"Iowa",1,20
"66",2010,1,"Kansas",1,17
"67",2010,1,"Kentucky",1,24
"68",2010,1,"Louisiana",1,25
"69",2010,1,"Maine",1,9
"70",2010,1,"Maryland",1,31
"71",2010,1,"Massachusetts",1,36
"72",2010,1,"Michigan",1,42
"73",2010,1,"Minnesota",1,29
"74",2010,1,"Mississippi",1,19
"75",2010,1,"Missouri",1,32
"76",2010,1,"Montana",1,6
"77",2010,1,"Nebraska",1,12
"78",2010,1,"Nevada",1,15
"79",2010,1,"New Hampshire",1,8
"80",2010,1,"New Jersey",1,39
"81",2010,1,"New Mexico",1,14
"82",2010,1,"New York",1,47
"83",2010,1,"North Carolina",1,40
"84",2010,1,"North Dakota",1,2
"85",2010,1,"Ohio",1,43
"86",2010,1,"Oklahoma",1,22
"87",2010,1,"Oregon",1,23
"88",2010,1,"Pennsylvania",1,44
"89",2010,1,"Rhode Island",1,7
"90",2010,1,"South Carolina",1,26
"91",2010,1,"South Dakota",1,4
"92",2010,1,"Tennessee",1,33
"93",2010,1,"Texas",1,48
"94",2010,1,"Utah",1,16
"95",2010,1,"Vermont",1,1
"96",2010,1,"Virginia",1,38
"97",2010,1,"Washington",1,37
"98",2010,1,"West Virginia",1,13
"99",2010,1,"Wisconsin",1,30
"100",2010,1,"Wyoming",1,0
"101",2010,2,"Alabama",1,27
"102",2010,2,"Alaska",1,3
"103",2010,2,"Arizona",1,34
"104",2010,2,"Arkansas",1,18
"105",2010,2,"California",2,48
"106",2010,2,"Colorado",1,28
"107",2010,2,"Connecticut",1,21
"108",2010,2,"Delaware",1,5
"109",2010,2,"Florida",1,46
"110",2010,2,"Georgia",1,41
"111",2010,2,"Hawaii",1,10
"112",2010,2,"Idaho",1,11
"113",2010,2,"Illinois",1,45
"114",2010,2,"Indiana",1,35
"115",2010,2,"Iowa",1,20
"116",2010,2,"Kansas",1,17
"117",2010,2,"Kentucky",1,24
"118",2010,2,"Louisiana",1,25
"119",2010,2,"Maine",1,9
"120",2010,2,"Maryland",1,31
"121",2010,2,"Massachusetts",1,36
"122",2010,2,"Michigan",1,42
"123",2010,2,"Minnesota",1,29
"124",2010,2,"Mississippi",1,19
"125",2010,2,"Missouri",1,32
"126",2010,2,"Montana",1,6
"127",2010,2,"Nebraska",1,12
"128",2010,2,"Nevada",1,15
"129",2010,2,"New Hampshire",1,8
"130",2010,2,"New Jersey",1,39
"131",2010,2,"New Mexico",1,14
"132",2010,2,"New York",1,47
"133",2010,2,"North Carolina",1,40
"134",2010,2,"North Dakota",1,2
"135",2010,2,"Ohio",1,43
"136",2010,2,"Oklahoma",1,22
"137",2010,2,"Oregon",1,23
"138",2010,2,"Pennsylvania",1,44
"139",2010,2,"Rhode Island",1,7
"140",2010,2,"South Carolina",1,26
"141",2010,2,"South Dakota",1,4
"142",2010,2,"Tennessee",1,33
"143",2010,2,"Texas",2,49
"144",2010,2,"Utah",1,16
"145",2010,2,"Vermont",1,1
"146",2010,2,"Virginia",1,38
"147",2010,2,"Washington",1,37
"148",2010,2,"West Virginia",1,13
"149",2010,2,"Wisconsin",1,30
"150",2010,2,"Wyoming",1,0
"151",2010,3,"Alabama",1,27
"152",2010,3,"Alaska",1,3
"153",2010,3,"Arizona",1,34
"154",2010,3,"Arkansas",1,18
"155",2010,3,"California",3,49
"156",2010,3,"Colorado",1,28
"157",2010,3,"Connecticut",1,21
"158",2010,3,"Delaware",1,5
"159",2010,3,"Florida",1,47
"160",2010,3,"Georgia",1,41
"161",2010,3,"Hawaii",1,10
"162",2010,3,"Idaho",1,11
"163",2010,3,"Illinois",1,45
"164",2010,3,"Indiana",1,35
"165",2010,3,"Iowa",1,20
"166",2010,3,"Kansas",1,17
"167",2010,3,"Kentucky",1,24
"168",2010,3,"Louisiana",1,25
"169",2010,3,"Maine",1,9
"170",2010,3,"Maryland",1,31
"171",2010,3,"Massachusetts",1,36
"172",2010,3,"Michigan",1,42
"173",2010,3,"Minnesota",1,29
"174",2010,3,"Mississippi",1,19
"175",2010,3,"Missouri",1,32
"176",2010,3,"Montana",1,6
"177",2010,3,"Nebraska",1,12
"178",2010,3,"Nevada",1,15
"179",2010,3,"New Hampshire",1,8
"180",2010,3,"New Jersey",1,39
"181",2010,3,"New Mexico",1,14
"182",2010,3,"New York",1,48
"183",2010,3,"North Carolina",1,40
"184",2010,3,"North Dakota",1,2
"185",2010,3,"Ohio",1,43
"186",2010,3,"Oklahoma",1,22
"187",2010,3,"Oregon",1,23
"188",2010,3,"Pennsylvania",1,44
"189",2010,3,"Rhode Island",1,7
"190",2010,3,"South Carolina",1,26
"191",2010,3,"South Dakota",1,4
"192",2010,3,"Tennessee",1,33
"193",2010,3,"Texas",2,46
"194",2010,3,"Utah",1,16
"195",2010,3,"Vermont",1,1
"196",2010,3,"Virginia",1,38
"197",2010,3,"Washington",1,37
"198",2010,3,"West Virginia",1,13
"199",2010,3,"Wisconsin",1,30
"200",2010,3,"Wyoming",1,0
"201",2010,4,"Alabama",1,27
"202",2010,4,"Alaska",1,3
"203",2010,4,"Arizona",1,34
"204",2010,4,"Arkansas",1,18
"205",2010,4,"California",3,47
"206",2010,4,"Colorado",1,28
"207",2010,4,"Connecticut",1,21
"208",2010,4,"Delaware",1,5
"209",2010,4,"Florida",1,48
"210",2010,4,"Georgia",1,41
"211",2010,4,"Hawaii",1,10
"212",2010,4,"Idaho",1,11
