"","Round","State","Match-up"
"5754",115,"Arkansas",13
"5755",115,"California",45
"5756",115,"Colorado",18
"5757",115,"Connecticut",20
"5758",115,"Delaware",5
"5759",115,"Florida",34
"5760",115,"Georgia",30
"5761",115,"Hawaii",10
"5762",115,"Idaho",11
"5763",115,"Illinois",27
"5764",115,"Indiana",41
"5765",115,"Iowa",15
"5766",115,"Kansas",12
"5767",115,"Kentucky",31
"5768",115,"Louisiana",39
"5769",115,"Maine",9
"5770",115,"Maryland",26
"5771",115,"Massachusetts",43
"5772",115,"Michigan",35
"5773",115,"Minnesota",21
"5774",115,"Mississippi",14
"5775",115,"Missouri",28
"5776",115,"Montana",6
"5777",115,"Nebraska",16
"5778",115,"Nevada",44
"5779",115,"New Hampshire",8
"5780",115,"New Jersey",24
"5781",115,"New Mexico",19
"5782",115,"New York",38
"5783",115,"North Carolina",29
"5784",115,"North Dakota",2
"5785",115,"Ohio",32
"5786",115,"Oklahoma",22
"5787",115,"Oregon",23
"5788",115,"Pennsylvania",49
"5789",115,"Rhode Island",7
"5790",115,"South Carolina",42
"5791",115,"South Dakota",4
"5792",115,"Tennessee",36
"5793",115,"Texas",40
"5794",115,"Utah",48
"5795",115,"Vermont",1
"5796",115,"Virginia",33
"5797",115,"Washington",46
"5798",115,"West Virginia",17
"5799",115,"Wisconsin",25
"5800",115,"Wyoming",0
"5801",116,"Alabama",48
"5802",116,"Alaska",3
"5803",116,"Arizona",38
"5804",116,"Arkansas",13
"5805",116,"California",46
"5806",116,"Colorado",18
"5807",116,"Connecticut",20
"5808",116,"Delaware",5
"5809",116,"Florida",35
"5810",116,"Georgia",31
"5811",116,"Hawaii",10
"5812",116,"Idaho",11
"5813",116,"Illinois",28
"5814",116,"Indiana",42
"5815",116,"Iowa",15
"5816",116,"Kansas",12
"5817",116,"Kentucky",32
"5818",116,"Louisiana",40
"5819",116,"Maine",9
"5820",116,"Maryland",26
"5821",116,"Massachusetts",44
"5822",116,"Michigan",36
"5823",116,"Minnesota",21
"5824",116,"Mississippi",14
"5825",116,"Missouri",29
"5826",116,"Montana",6
"5827",116,"Nebraska",16
"5828",116,"Nevada",45
"5829",116,"New Hampshire",8
"5830",116,"New Jersey",24
"5831",116,"New Mexico",19
"5832",116,"New York",39
"5833",116,"North Carolina",30
"5834",116,"North Dakota",2
"5835",116,"Ohio",33
"5836",116,"Oklahoma",22
"5837",116,"Oregon",23
"5838",116,"Pennsylvania",27
"5839",116,"Rhode Island",7
"5840",116,"South Carolina",43
"5841",116,"South Dakota",4
"5842",116,"Tennessee",37
"5843",116,"Texas",41
"5844",116,"Utah",49
"5845",116,"Vermont",1
"5846",116,"Virginia",34
"5847",116,"Washington",47
"5848",116,"West Virginia",17
"5849",116,"Wisconsin",25
"5850",116,"Wyoming",0
"5851",117,"Alabama",49
"5852",117,"Alaska",3
"5853",117,"Arizona",39
"5854",117,"Arkansas",14
"5855",117,"California",47
"5856",117,"Colorado",19
"5857",117,"Connecticut",21
"5858",117,"Delaware",5
"5859",117,"Florida",36
"5860",117,"Georgia",32
"5861",117,"Hawaii",10
"5862",117,"Idaho",11
"5863",117,"Illinois",29
"5864",117,"Indiana",43
"5865",117,"Iowa",16
"5866",117,"Kansas",13
"5867",117,"Kentucky",33
"5868",117,"Louisiana",41
"5869",117,"Maine",9
"5870",117,"Maryland",27
"5871",117,"Massachusetts",45
"5872",117,"Michigan",37
"5873",117,"Minnesota",22
"5874",117,"Mississippi",15
"5875",117,"Missouri",30
"5876",117,"Montana",6
"5877",117,"Nebraska",17
"5878",117,"Nevada",46
"5879",117,"New Hampshire",8
"5880",117,"New Jersey",25
"5881",117,"New Mexico",20
"5882",117,"New York",40
"5883",117,"North Carolina",31
"5884",117,"North Dakota",2
"5885",117,"Ohio",34
"5886",117,"Oklahoma",23
"5887",117,"Oregon",24
"5888",117,"Pennsylvania",28
"5889",117,"Rhode Island",7
"5890",117,"South Carolina",44
"5891",117,"South Dakota",4
"5892",117,"Tennessee",38
"5893",117,"Texas",42
"5894",117,"Utah",12
"5895",117,"Vermont",1
"5896",117,"Virginia",35
"5897",117,"Washington",48
"5898",117,"West Virginia",18
"5899",117,"Wisconsin",26
"5900",117,"Wyoming",0
"5901",118,"Alabama",19
"5902",118,"Alaska",3
"5903",118,"Arizona",40
"5904",118,"Arkansas",14
"5905",118,"California",48
"5906",118,"Colorado",20
"5907",118,"Connecticut",22
"5908",118,"Delaware",5
"5909",118,"Florida",37
"5910",118,"Georgia",33
"5911",118,"Hawaii",10
"5912",118,"Idaho",11
"5913",118,"Illinois",30
"5914",118,"Indiana",44
"5915",118,"Iowa",16
"5916",118,"Kansas",13
"5917",118,"Kentucky",34
"5918",118,"Louisiana",42
"5919",118,"Maine",9
"5920",118,"Maryland",28
"5921",118,"Massachusetts",46
"5922",118,"Michigan",38
"5923",118,"Minnesota",23
"5924",118,"Mississippi",15
"5925",118,"Missouri",31
"5926",118,"Montana",6
"5927",118,"Nebraska",17
"5928",118,"Nevada",47
"5929",118,"New Hampshire",8
"5930",118,"New Jersey",26
"5931",118,"New Mexico",21
"5932",118,"New York",41
"5933",118,"North Carolina",32
"5934",118,"North Dakota",2
"5935",118,"Ohio",35
"5936",118,"Oklahoma",24
"5937",118,"Oregon",25
"5938",118,"Pennsylvania",29
"5939",118,"Rhode Island",7
"5940",118,"South Carolina",45
"5941",118,"South Dakota",4
"5942",118,"Tennessee",39
"5943",118,"Texas",43
"5944",118,"Utah",12
"5945",118,"Vermont",1
"5946",118,"Virginia",36
"5947",118,"Washington",49
"5948",118,"West Virginia",18
"5949",118,"Wisconsin",27
"5950",118,"Wyoming",0
"5951",119,"Alabama",19
"5952",119,"Alaska",3
"5953",119,"Arizona",41
"5954",119,"Arkansas",14
"5955",119,"California",49
"5956",119,"Colorado",20
"5957",119,"Connecticut",22
"5958",119,"Delaware",5
"5959",119,"Florida",38
"5960",119,"Georgia",34
"5961",119,"Hawaii",10
"5962",119,"Idaho",11
"5963",119,"Illinois",31
"5964",119,"Indiana",45
"5965",119,"Iowa",16
"5966",119,"Kansas",13
"5967",119,"Kentucky",35
"5968",119,"Louisiana",43
"5969",119,"Maine",9
"5970",119,"Maryland",29
"5971",119,"Massachusetts",47
"5972",119,"Michigan",39
"5973",119,"Minnesota",24
"5974",119,"Mississippi",15
"5975",119,"Missouri",32
"5976",119,"Montana",6
"5977",119,"Nebraska",17
"5978",119,"Nevada",48
"5979",119,"New Hampshire",8
"5980",119,"New Jersey",27
"5981",119,"New Mexico",21
"5982",119,"New York",42
"5983",119,"North Carolina",33
"5984",119,"North Dakota",2
"5985",119,"Ohio",36
"5986",119,"Oklahoma",25
"5987",119,"Oregon",26
"5988",119,"Pennsylvania",30
"5989",119,"Rhode Island",7
"5990",119,"South Carolina",46
"5991",119,"South Dakota",4
"5992",119,"Tennessee",40
"5993",119,"Texas",44
"5994",119,"Utah",12
"5995",119,"Vermont",1
"5996",119,"Virginia",37
"5997",119,"Washington",23
"5998",119,"West Virginia",18
"5999",119,"Wisconsin",28
"6000",119,"Wyoming",0
"6001",120,"Alabama",19
"6002",120,"Alaska",3
"6003",120,"Arizona",42
"6004",120,"Arkansas",14
"6005",120,"California",40
"6006",120,"Colorado",20
"6007",120,"Connecticut",22
"6008",120,"Delaware",5
"6009",120,"Florida",38
"6010",120,"Georgia",34
"6011",120,"Hawaii",10
"6012",120,"Idaho",11
"6013",120,"Illinois",31
"6014",120,"Indiana",46
"6015",120,"Iowa",16
"6016",120,"Kansas",13
"6017",120,"Kentucky",35
"6018",120,"Louisiana",44
"6019",120,"Maine",9
"6020",120,"Maryland",29
"6021",120,"Massachusetts",48
"6022",120,"Michigan",39
"6023",120,"Minnesota",24
"6024",120,"Mississippi",15
"6025",120,"Missouri",32
"6026",120,"Montana",6
"6027",120,"Nebraska",17
"6028",120,"Nevada",49
"6029",120,"New Hampshire",8
"6030",120,"New Jersey",27
"6031",120,"New Mexico",21
"6032",120,"New York",43
"6033",120,"North Carolina",33
"6034",120,"North Dakota",2
"6035",120,"Ohio",36
"6036",120,"Oklahoma",25
"6037",120,"Oregon",26
"6038",120,"Pennsylvania",30
"6039",120,"Rhode Island",7
"6040",120,"South Carolina",47
"6041",120,"South Dakota",4
"6042",120,"Tennessee",41
"6043",120,"Texas",45
"6044",120,"Utah",12
"6045",120,"Vermont",1
"6046",120,"Virginia",37
"6047",120,"Washington",23
"6048",120,"West Virginia",18
"6049",120,"Wisconsin",28
"6050",120,"Wyoming",0
"6051",121,"Alabama",20
"6052",121,"Alaska",3
"6053",121,"Arizona",43
"6054",121,"Arkansas",15
"6055",121,"California",41
"6056",121,"Colorado",21
"6057",121,"Connecticut",23
"6058",121,"Delaware",5
"6059",121,"Florida",39
"6060",121,"Georgia",35
"6061",121,"Hawaii",10
"6062",121,"Idaho",12
"6063",121,"Illinois",32
"6064",121,"Indiana",47
"6065",121,"Iowa",17
"6066",121,"Kansas",14
"6067",121,"Kentucky",36
"6068",121,"Louisiana",45
"6069",121,"Maine",9
"6070",121,"Maryland",30
"6071",121,"Massachusetts",49
"6072",121,"Michigan",40
"6073",121,"Minnesota",25
"6074",121,"Mississippi",16
"6075",121,"Missouri",33
"6076",121,"Montana",6
"6077",121,"Nebraska",18
"6078",121,"Nevada",11
"6079",121,"New Hampshire",8
"6080",121,"New Jersey",28
"6081",121,"New Mexico",22
"6082",121,"New York",44
"6083",121,"North Carolina",34
"6084",121,"North Dakota",2
"6085",121,"Ohio",37
"6086",121,"Oklahoma",26
"6087",121,"Oregon",27
"6088",121,"Pennsylvania",31
"6089",121,"Rhode Island",7
"6090",121,"South Carolina",48
"6091",121,"South Dakota",4
"6092",121,"Tennessee",42
"6093",121,"Texas",46
"6094",121,"Utah",13
"6095",121,"Vermont",1
"6096",121,"Virginia",38
"6097",121,"Washington",24
"6098",121,"West Virginia",19
"6099",121,"Wisconsin",29
"6100",121,"Wyoming",0
"6101",122,"Alabama",20
"6102",122,"Alaska",3
"6103",122,"Arizona",44
"6104",122,"Arkansas",15
"6105",122,"California",42
"6106",122,"Colorado",21
"6107",122,"Connecticut",23
"6108",122,"Delaware",5
"6109",122,"Florida",40
"6110",122,"Georgia",36
"6111",122,"Hawaii",10
"6112",122,"Idaho",12
"6113",122,"Illinois",33
"6114",122,"Indiana",48
"6115",122,"Iowa",17
"6116",122,"Kansas",14
"6117",122,"Kentucky",37
"6118",122,"Louisiana",46
"6119",122,"Maine",9
"6120",122,"Maryland",31
"6121",122,"Massachusetts",24
"6122",122,"Michigan",41
"6123",122,"Minnesota",26
"6124",122,"Mississippi",16
"6125",122,"Missouri",34
"6126",122,"Montana",6
"6127",122,"Nebraska",18
"6128",122,"Nevada",11
"6129",122,"New Hampshire",8
"6130",122,"New Jersey",29
"6131",122,"New Mexico",22
"6132",122,"New York",45
"6133",122,"North Carolina",35
"6134",122,"North Dakota",2
"6135",122,"Ohio",38
"6136",122,"Oklahoma",27
"6137",122,"Oregon",28
"6138",122,"Pennsylvania",32
"6139",122,"Rhode Island",7
"6140",122,"South Carolina",49
"6141",122,"South Dakota",4
"6142",122,"Tennessee",43
"6143",122,"Texas",47
"6144",122,"Utah",13
"6145",122,"Vermont",1
"6146",122,"Virginia",39
"6147",122,"Washington",25
"6148",122,"West Virginia",19
"6149",122,"Wisconsin",30
"6150",122,"Wyoming",0
"6151",123,"Alabama",21
"6152",123,"Alaska",3
"6153",123,"Arizona",45
"6154",123,"Arkansas",15
"6155",123,"California",43
"6156",123,"Colorado",22
"6157",123,"Connecticut",24
"6158",123,"Delaware",5
"6159",123,"Florida",41
"6160",123,"Georgia",37
"6161",123,"Hawaii",10
"6162",123,"Idaho",12
"6163",123,"Illinois",34
"6164",123,"Indiana",49
"6165",123,"Iowa",17
"6166",123,"Kansas",14
"6167",123,"Kentucky",38
"6168",123,"Louisiana",47
"6169",123,"Maine",9
"6170",123,"Maryland",32
"6171",123,"Massachusetts",25
"6172",123,"Michigan",42
"6173",123,"Minnesota",27
"6174",123,"Mississippi",16
"6175",123,"Missouri",35
"6176",123,"Montana",6
"6177",123,"Nebraska",18
"6178",123,"Nevada",11
"6179",123,"New Hampshire",8
"6180",123,"New Jersey",30
"6181",123,"New Mexico",23
"6182",123,"New York",46
"6183",123,"North Carolina",36
"6184",123,"North Dakota",2
"6185",123,"Ohio",39
"6186",123,"Oklahoma",28
"6187",123,"Oregon",29
"6188",123,"Pennsylvania",33
"6189",123,"Rhode Island",7
"6190",123,"South Carolina",20
"6191",123,"South Dakota",4
"6192",123,"Tennessee",44
"6193",123,"Texas",48
"6194",123,"Utah",13
"6195",123,"Vermont",1
"6196",123,"Virginia",40
"6197",123,"Washington",26
"6198",123,"West Virginia",19
"6199",123,"Wisconsin",31
"6200",123,"Wyoming",0
"6201",124,"Alabama",21
"6202",124,"Alaska",3
"6203",124,"Arizona",46
"6204",124,"Arkansas",15
"6205",124,"California",44
"6206",124,"Colorado",23
"6207",124,"Connecticut",25
"6208",124,"Delaware",5
"6209",124,"Florida",42
"6210",124,"Georgia",38
"6211",124,"Hawaii",10
"6212",124,"Idaho",12
"6213",124,"Illinois",35
"6214",124,"Indiana",22
"6215",124,"Iowa",17
"6216",124,"Kansas",14
"6217",124,"Kentucky",39
"6218",124,"Louisiana",48
"6219",124,"Maine",9
"6220",124,"Maryland",33
"6221",124,"Massachusetts",26
"6222",124,"Michigan",43
"6223",124,"Minnesota",28
"6224",124,"Mississippi",16
"6225",124,"Missouri",36
"6226",124,"Montana",6
"6227",124,"Nebraska",18
"6228",124,"Nevada",11
"6229",124,"New Hampshire",8
"6230",124,"New Jersey",31
"6231",124,"New Mexico",24
"6232",124,"New York",47
"6233",124,"North Carolina",37
"6234",124,"North Dakota",2
"6235",124,"Ohio",40
"6236",124,"Oklahoma",29
"6237",124,"Oregon",30
"6238",124,"Pennsylvania",34
"6239",124,"Rhode Island",7
"6240",124,"South Carolina",20
"6241",124,"South Dakota",4
"6242",124,"Tennessee",45
"6243",124,"Texas",49
"6244",124,"Utah",13
"6245",124,"Vermont",1
"6246",124,"Virginia",41
"6247",124,"Washington",27
"6248",124,"West Virginia",19
"6249",124,"Wisconsin",32
"6250",124,"Wyoming",0
"6251",125,"Alabama",21
"6252",125,"Alaska",3
"6253",125,"Arizona",47
"6254",125,"Arkansas",15
"6255",125,"California",45
"6256",125,"Colorado",23
"6257",125,"Connecticut",25
"6258",125,"Delaware",5
"6259",125,"Florida",43
"6260",125,"Georgia",39
"6261",125,"Hawaii",10
"6262",125,"Idaho",12
"6263",125,"Illinois",35
"6264",125,"Indiana",22
"6265",125,"Iowa",17
"6266",125,"Kansas",14
"6267",125,"Kentucky",40
"6268",125,"Louisiana",49
"6269",125,"Maine",9
"6270",125,"Maryland",33
"6271",125,"Massachusetts",26
"6272",125,"Michigan",44
"6273",125,"Minnesota",28
"6274",125,"Mississippi",16
"6275",125,"Missouri",36
"6276",125,"Montana",6
"6277",125,"Nebraska",18
"6278",125,"Nevada",11
"6279",125,"New Hampshire",8
"6280",125,"New Jersey",31
"6281",125,"New Mexico",24
"6282",125,"New York",48
"6283",125,"North Carolina",38
"6284",125,"North Dakota",2
"6285",125,"Ohio",41
"6286",125,"Oklahoma",29
"6287",125,"Oregon",30
"6288",125,"Pennsylvania",34
"6289",125,"Rhode Island",7
"6290",125,"South Carolina",20
"6291",125,"South Dakota",4
"6292",125,"Tennessee",46
"6293",125,"Texas",37
"6294",125,"Utah",13
"6295",125,"Vermont",1
"6296",125,"Virginia",42
"6297",125,"Washington",27
"6298",125,"West Virginia",19
"6299",125,"Wisconsin",32
"6300",125,"Wyoming",0
"6301",126,"Alabama",22
"6302",126,"Alaska",3
"6303",126,"Arizona",48
"6304",126,"Arkansas",15
"6305",126,"California",46
"6306",126,"Colorado",24
"6307",126,"Connecticut",26
"6308",126,"Delaware",5
"6309",126,"Florida",44
"6310",126,"Georgia",40
"6311",126,"Hawaii",10
"6312",126,"Idaho",12
"6313",126,"Illinois",36
"6314",126,"Indiana",23
"6315",126,"Iowa",17
"6316",126,"Kansas",14
"6317",126,"Kentucky",41
"6318",126,"Louisiana",19
"6319",126,"Maine",9
"6320",126,"Maryland",34
"6321",126,"Massachusetts",27
"6322",126,"Michigan",45
"6323",126,"Minnesota",29
"6324",126,"Mississippi",16
"6325",126,"Missouri",37
"6326",126,"Montana",6
"6327",126,"Nebraska",18
"6328",126,"Nevada",11
"6329",126,"New Hampshire",8
"6330",126,"New Jersey",32
"6331",126,"New Mexico",25
"6332",126,"New York",49
"6333",126,"North Carolina",39
"6334",126,"North Dakota",2
"6335",126,"Ohio",42
"6336",126,"Oklahoma",30
"6337",126,"Oregon",31
"6338",126,"Pennsylvania",35
"6339",126,"Rhode Island",7
"6340",126,"South Carolina",21
"6341",126,"South Dakota",4
"6342",126,"Tennessee",47
"6343",126,"Texas",38
"6344",126,"Utah",13
"6345",126,"Vermont",1
"6346",126,"Virginia",43
"6347",126,"Washington",28
"6348",126,"West Virginia",20
"6349",126,"Wisconsin",33
"6350",126,"Wyoming",0
"6351",127,"Alabama",22
"6352",127,"Alaska",3
"6353",127,"Arizona",49
"6354",127,"Arkansas",15
"6355",127,"California",47
"6356",127,"Colorado",24
"6357",127,"Connecticut",26
"6358",127,"Delaware",5
"6359",127,"Florida",45
"6360",127,"Georgia",41
"6361",127,"Hawaii",10
"6362",127,"Idaho",12
"6363",127,"Illinois",37
"6364",127,"Indiana",23
"6365",127,"Iowa",17
"6366",127,"Kansas",14
"6367",127,"Kentucky",42
"6368",127,"Louisiana",19
"6369",127,"Maine",9
"6370",127,"Maryland",34
"6371",127,"Massachusetts",27
"6372",127,"Michigan",46
"6373",127,"Minnesota",29
"6374",127,"Mississippi",16
"6375",127,"Missouri",38
"6376",127,"Montana",6
"6377",127,"Nebraska",18
"6378",127,"Nevada",11
"6379",127,"New Hampshire",8
"6380",127,"New Jersey",32
"6381",127,"New Mexico",25
"6382",127,"New York",35
"6383",127,"North Carolina",40
"6384",127,"North Dakota",2
"6385",127,"Ohio",43
"6386",127,"Oklahoma",30
"6387",127,"Oregon",31
"6388",127,"Pennsylvania",36
"6389",127,"Rhode Island",7
"6390",127,"South Carolina",21
"6391",127,"South Dakota",4
"6392",127,"Tennessee",48
"6393",127,"Texas",39
"6394",127,"Utah",13
"6395",127,"Vermont",1
"6396",127,"Virginia",44
"6397",127,"Washington",28
"6398",127,"West Virginia",20
"6399",127,"Wisconsin",33
"6400",127,"Wyoming",0
"6401",128,"Alabama",22
"6402",128,"Alaska",3
"6403",128,"Arizona",23
"6404",128,"Arkansas",15
"6405",128,"California",48
"6406",128,"Colorado",25
"6407",128,"Connecticut",27
"6408",128,"Delaware",5
"6409",128,"Florida",46
"6410",128,"Georgia",42
"6411",128,"Hawaii",10
"6412",128,"Idaho",12
"6413",128,"Illinois",38
"6414",128,"Indiana",24
"6415",128,"Iowa",17
"6416",128,"Kansas",14
"6417",128,"Kentucky",43
"6418",128,"Louisiana",19
"6419",128,"Maine",9
"6420",128,"Maryland",35
"6421",128,"Massachusetts",28
"6422",128,"Michigan",47
"6423",128,"Minnesota",30
"6424",128,"Mississippi",16
"6425",128,"Missouri",39
"6426",128,"Montana",6
"6427",128,"Nebraska",18
"6428",128,"Nevada",11
"6429",128,"New Hampshire",8
"6430",128,"New Jersey",33
"6431",128,"New Mexico",26
"6432",128,"New York",36
"6433",128,"North Carolina",41
"6434",128,"North Dakota",2
"6435",128,"Ohio",44
"6436",128,"Oklahoma",31
"6437",128,"Oregon",32
"6438",128,"Pennsylvania",37
"6439",128,"Rhode Island",7
"6440",128,"South Carolina",21
"6441",128,"South Dakota",4
"6442",128,"Tennessee",49
"6443",128,"Texas",40
"6444",128,"Utah",13
"6445",128,"Vermont",1
"6446",128,"Virginia",45
"6447",128,"Washington",29
"6448",128,"West Virginia",20
"6449",128,"Wisconsin",34
"6450",128,"Wyoming",0
"6451",129,"Alabama",22
"6452",129,"Alaska",3
"6453",129,"Arizona",24
"6454",129,"Arkansas",15
"6455",129,"California",49
"6456",129,"Colorado",26
"6457",129,"Connecticut",28
"6458",129,"Delaware",5
"6459",129,"Florida",47
"6460",129,"Georgia",43
"6461",129,"Hawaii",10
"6462",129,"Idaho",12
"6463",129,"Illinois",39
"6464",129,"Indiana",25
"6465",129,"Iowa",17
"6466",129,"Kansas",14
"6467",129,"Kentucky",44
"6468",129,"Louisiana",19
"6469",129,"Maine",9
"6470",129,"Maryland",36
"6471",129,"Massachusetts",29
"6472",129,"Michigan",48
"6473",129,"Minnesota",31
"6474",129,"Mississippi",16
"6475",129,"Missouri",40
"6476",129,"Montana",6
"6477",129,"Nebraska",18
"6478",129,"Nevada",11
"6479",129,"New Hampshire",8
"6480",129,"New Jersey",34
"6481",129,"New Mexico",27
"6482",129,"New York",37
"6483",129,"North Carolina",42
"6484",129,"North Dakota",2
"6485",129,"Ohio",45
"6486",129,"Oklahoma",32
"6487",129,"Oregon",33
"6488",129,"Pennsylvania",38
"6489",129,"Rhode Island",7
"6490",129,"South Carolina",21
"6491",129,"South Dakota",4
"6492",129,"Tennessee",23
"6493",129,"Texas",41
"6494",129,"Utah",13
"6495",129,"Vermont",1
"6496",129,"Virginia",46
"6497",129,"Washington",30
"6498",129,"West Virginia",20
"6499",129,"Wisconsin",35
"6500",129,"Wyoming",0
"6501",130,"Alabama",22
"6502",130,"Alaska",3
"6503",130,"Arizona",24
"6504",130,"Arkansas",15
"6505",130,"California",41
"6506",130,"Colorado",26
"6507",130,"Connecticut",28
"6508",130,"Delaware",5
"6509",130,"Florida",48
"6510",130,"Georgia",44
"6511",130,"Hawaii",10
"6512",130,"Idaho",12
"6513",130,"Illinois",39
"6514",130,"Indiana",25
"6515",130,"Iowa",17
"6516",130,"Kansas",14
"6517",130,"Kentucky",45
"6518",130,"Louisiana",19
"6519",130,"Maine",9
"6520",130,"Maryland",36
"6521",130,"Massachusetts",29
"6522",130,"Michigan",49
"6523",130,"Minnesota",31
"6524",130,"Mississippi",16
"6525",130,"Missouri",40
"6526",130,"Montana",6
"6527",130,"Nebraska",18
"6528",130,"Nevada",11
"6529",130,"New Hampshire",8
"6530",130,"New Jersey",34
"6531",130,"New Mexico",27
"6532",130,"New York",37
"6533",130,"North Carolina",43
"6534",130,"North Dakota",2
"6535",130,"Ohio",46
"6536",130,"Oklahoma",32
"6537",130,"Oregon",33
"6538",130,"Pennsylvania",38
"6539",130,"Rhode Island",7
"6540",130,"South Carolina",21
"6541",130,"South Dakota",4
"6542",130,"Tennessee",23
"6543",130,"Texas",42
"6544",130,"Utah",13
"6545",130,"Vermont",1
"6546",130,"Virginia",47
"6547",130,"Washington",30
"6548",130,"West Virginia",20
"6549",130,"Wisconsin",35
"6550",130,"Wyoming",0
"6551",131,"Alabama",22
"6552",131,"Alaska",3
"6553",131,"Arizona",24
"6554",131,"Arkansas",15
"6555",131,"California",42
"6556",131,"Colorado",26
"6557",131,"Connecticut",28
"6558",131,"Delaware",5
"6559",131,"Florida",49
"6560",131,"Georgia",45
"6561",131,"Hawaii",10
"6562",131,"Idaho",12
"6563",131,"Illinois",40
"6564",131,"Indiana",25
"6565",131,"Iowa",17
"6566",131,"Kansas",14
"6567",131,"Kentucky",46
"6568",131,"Louisiana",19
"6569",131,"Maine",9
"6570",131,"Maryland",37
"6571",131,"Massachusetts",29
"6572",131,"Michigan",31
"6573",131,"Minnesota",32
"6574",131,"Mississippi",16
"6575",131,"Missouri",41
"6576",131,"Montana",6
"6577",131,"Nebraska",18
"6578",131,"Nevada",11
"6579",131,"New Hampshire",8
"6580",131,"New Jersey",35
"6581",131,"New Mexico",27
"6582",131,"New York",38
"6583",131,"North Carolina",44
"6584",131,"North Dakota",2
"6585",131,"Ohio",47
"6586",131,"Oklahoma",33
"6587",131,"Oregon",34
"6588",131,"Pennsylvania",39
"6589",131,"Rhode Island",7
"6590",131,"South Carolina",21
"6591",131,"South Dakota",4
"6592",131,"Tennessee",23
"6593",131,"Texas",43
"6594",131,"Utah",13
"6595",131,"Vermont",1
"6596",131,"Virginia",48
"6597",131,"Washington",30
"6598",131,"West Virginia",20
"6599",131,"Wisconsin",36
"6600",131,"Wyoming",0
"6601",132,"Alabama",22
"6602",132,"Alaska",3
"6603",132,"Arizona",24
"6604",132,"Arkansas",15
"6605",132,"California",43
"6606",132,"Colorado",26
"6607",132,"Connecticut",28
"6608",132,"Delaware",5
"6609",132,"Florida",36
"6610",132,"Georgia",46
"6611",132,"Hawaii",10
"6612",132,"Idaho",12
"6613",132,"Illinois",41
"6614",132,"Indiana",25
"6615",132,"Iowa",17
"6616",132,"Kansas",14
"6617",132,"Kentucky",47
"6618",132,"Louisiana",19
"6619",132,"Maine",9
"6620",132,"Maryland",38
"6621",132,"Massachusetts",29
"6622",132,"Michigan",31
"6623",132,"Minnesota",32
"6624",132,"Mississippi",16
"6625",132,"Missouri",42
"6626",132,"Montana",6
"6627",132,"Nebraska",18
"6628",132,"Nevada",11
"6629",132,"New Hampshire",8
"6630",132,"New Jersey",35
"6631",132,"New Mexico",27
"6632",132,"New York",39
"6633",132,"North Carolina",45
"6634",132,"North Dakota",2
"6635",132,"Ohio",48
"6636",132,"Oklahoma",33
"6637",132,"Oregon",34
"6638",132,"Pennsylvania",40
"6639",132,"Rhode Island",7
"6640",132,"South Carolina",21
"6641",132,"South Dakota",4
"6642",132,"Tennessee",23
"6643",132,"Texas",44
"6644",132,"Utah",13
"6645",132,"Vermont",1
"6646",132,"Virginia",49
"6647",132,"Washington",30
"6648",132,"West Virginia",20
"6649",132,"Wisconsin",37
"6650",132,"Wyoming",0
"6651",133,"Alabama",22
"6652",133,"Alaska",3
"6653",133,"Arizona",24
"6654",133,"Arkansas",15
"6655",133,"California",44
"6656",133,"Colorado",26
"6657",133,"Connecticut",28
"6658",133,"Delaware",5
"6659",133,"Florida",37
"6660",133,"Georgia",47
"6661",133,"Hawaii",10
"6662",133,"Idaho",12
"6663",133,"Illinois",42
"6664",133,"Indiana",25
"6665",133,"Iowa",17
"6666",133,"Kansas",14
"6667",133,"Kentucky",48
"6668",133,"Louisiana",19
"6669",133,"Maine",9
"6670",133,"Maryland",39
"6671",133,"Massachusetts",30
"6672",133,"Michigan",32
"6673",133,"Minnesota",33
"6674",133,"Mississippi",16
"6675",133,"Missouri",43
"6676",133,"Montana",6
"6677",133,"Nebraska",18
"6678",133,"Nevada",11
"6679",133,"New Hampshire",8
"6680",133,"New Jersey",36
"6681",133,"New Mexico",27
"6682",133,"New York",40
"6683",133,"North Carolina",46
"6684",133,"North Dakota",2
"6685",133,"Ohio",49
"6686",133,"Oklahoma",34
"6687",133,"Oregon",35
"6688",133,"Pennsylvania",41
"6689",133,"Rhode Island",7
"6690",133,"South Carolina",21
"6691",133,"South Dakota",4
"6692",133,"Tennessee",23
"6693",133,"Texas",45
"6694",133,"Utah",13
"6695",133,"Vermont",1
"6696",133,"Virginia",29
"6697",133,"Washington",31
"6698",133,"West Virginia",20
"6699",133,"Wisconsin",38
"6700",133,"Wyoming",0
"6701",134,"Alabama",22
"6702",134,"Alaska",3
"6703",134,"Arizona",24
"6704",134,"Arkansas",15
"6705",134,"California",45
"6706",134,"Colorado",26
"6707",134,"Connecticut",28
"6708",134,"Delaware",5
"6709",134,"Florida",38
"6710",134,"Georgia",48
"6711",134,"Hawaii",10
"6712",134,"Idaho",12
"6713",134,"Illinois",43
"6714",134,"Indiana",25
"6715",134,"Iowa",17
"6716",134,"Kansas",14
"6717",134,"Kentucky",49
"6718",134,"Louisiana",19
"6719",134,"Maine",9
"6720",134,"Maryland",40
"6721",134,"Massachusetts",30
"6722",134,"Michigan",32
"6723",134,"Minnesota",33
"6724",134,"Mississippi",16
"6725",134,"Missouri",44
"6726",134,"Montana",6
